Events,EName,Start,Stop,peak,GOES Class,Derived Position
1,gev_20190620_1020,2019/06/20 10:20:00,12:10:00,10:50:00,A7.5
1,gev_20190614_1720,2019/06/14 17:20:00,17:48:00,17:42:00,A8.2
2,gev_20190614_1950,2019/06/14 19:50:00,19:52:00,19:51:00,A1.1
1,gev_20190614_1720,2019/06/14 17:20:00,17:48:00,17:42:00,A8.2
2,gev_20190614_1950,2019/06/14 19:50:00,19:52:00,19:51:00,A1.1
1,gev_20190614_1720,2019/06/14 17:20:00,17:48:00,17:42:00,A8.2
2,gev_20190614_1950,2019/06/14 19:50:00,19:52:00,19:51:00,A1.1
1,gev_20190614_1720,2019/06/14 17:20:00,17:48:00,17:42:00,A8.2
2,gev_20190614_1950,2019/06/14 19:50:00,19:52:00,19:51:00,A1.1
1,gev_20190614_1720,2019/06/14 17:20:00,17:48:00,17:42:00,A8.2
2,gev_20190614_1950,2019/06/14 19:50:00,19:52:00,19:51:00,A1.1
1,gev_20190606_1220,2019/06/06 12:20:00,12:22:00,12:21:00,A1.1
1,gev_20190606_1220,2019/06/06 12:20:00,12:22:00,12:21:00,A1.1
1,gev_20190606_1220,2019/06/06 12:20:00,12:22:00,12:21:00,A1.1
1,gev_20190606_1220,2019/06/06 12:20:00,12:22:00,12:21:00,A1.1
1,gev_20190606_1220,2019/06/06 12:20:00,12:22:00,12:21:00,A1.1
1,gev_20190601_1448,2019/06/01 14:48:00,15:00:00,14:54:00,B2.2
2,gev_20190606_1220,2019/06/06 12:20:00,12:22:00,12:21:00,A1.1
1,gev_20190601_1448,2019/06/01 14:48:00,15:00:00,14:54:00,B2.2
1,gev_20190530_1100,2019/05/30 11:00:00,12:00:00,11:15:00,A7.8
2,gev_20190530_1755,2019/05/30 17:55:00,17:57:00,17:56:00,A1.0
3,gev_20190601_1448,2019/06/01 14:48:00,15:00:00,14:54:00,B2.2
1,gev_20190529_1700,2019/05/29 17:00:00,18:00:00,17:46:00,A8.0
2,gev_20190530_1100,2019/05/30 11:00:00,12:00:00,11:15:00,A7.8
3,gev_20190530_1755,2019/05/30 17:55:00,17:57:00,17:56:00,A1.0
4,gev_20190601_1448,2019/06/01 14:48:00,15:00:00,14:54:00,B2.2
1,gev_20190529_1700,2019/05/29 17:00:00,18:00:00,17:46:00,A8.0
2,gev_20190530_1100,2019/05/30 11:00:00,12:00:00,11:15:00,A7.8
3,gev_20190530_1755,2019/05/30 17:55:00,17:57:00,17:56:00,A1.0
4,gev_20190601_1448,2019/06/01 14:48:00,15:00:00,14:54:00,B2.2
1,gev_20190529_1700,2019/05/29 17:00:00,18:00:00,17:46:00,A8.0
2,gev_20190530_1100,2019/05/30 11:00:00,12:00:00,11:15:00,A7.8
3,gev_20190530_1755,2019/05/30 17:55:00,17:57:00,17:56:00,A1.0
4,gev_20190601_1448,2019/06/01 14:48:00,15:00:00,14:54:00,B2.2
1,gev_20190529_1700,2019/05/29 17:00:00,18:00:00,17:46:00,A8.0
2,gev_20190530_1100,2019/05/30 11:00:00,12:00:00,11:15:00,A7.8
3,gev_20190530_1755,2019/05/30 17:55:00,17:57:00,17:56:00,A1.0
1,gev_20190529_1700,2019/05/29 17:00:00,18:00:00,17:46:00,A8.0
2,gev_20190530_1100,2019/05/30 11:00:00,12:00:00,11:15:00,A7.8
3,gev_20190530_1755,2019/05/30 17:55:00,17:57:00,17:56:00,A1.0
1,gev_20190523_0910,2019/05/23 09:10:00,09:16:00,09:13:00,A7.0
1,gev_20190523_0910,2019/05/23 09:10:00,09:16:00,09:13:00,A7.0
1,gev_20190523_0910,2019/05/23 09:10:00,09:16:00,09:13:00,A7.0
1,gev_20190521_0445,2019/05/21 04:45:00,07:00:00,05:37:00,A8.9
2,gev_20190523_0910,2019/05/23 09:10:00,09:16:00,09:13:00,A7.0
1,gev_20190521_0445,2019/05/21 04:45:00,07:00:00,05:37:00,A8.9
2,gev_20190523_0910,2019/05/23 09:10:00,09:16:00,09:13:00,A7.0
1,gev_20190521_0445,2019/05/21 04:45:00,07:00:00,05:37:00,A8.9
2,gev_20190523_0910,2019/05/23 09:10:00,09:16:00,09:13:00,A7.0
1,gev_20190521_0445,2019/05/21 04:45:00,07:00:00,05:37:00,A8.9
2,gev_20190523_0910,2019/05/23 09:10:00,09:16:00,09:13:00,A7.0
1,gev_20190521_0445,2019/05/21 04:45:00,07:00:00,05:37:00,A8.9
2,gev_20190523_0910,2019/05/23 09:10:00,09:16:00,09:13:00,A7.0
1,gev_20190516_0453,2019/05/16 04:53:00,04:58:00,04:56:00,B1.4
2,gev_20190521_0445,2019/05/21 04:45:00,07:00:00,05:37:00,A8.9
1,gev_20190515_0832,2019/05/15 08:32:00,08:49:00,08:40:00,B3.5
2,gev_20190515_1642,2019/05/15 16:42:00,17:03:00,16:56:00,B2.0
3,gev_20190515_1915,2019/05/15 19:15:00,19:27:00,19:24:00,C2.0
4,gev_20190515_1947,2019/05/15 19:47:00,20:02:00,19:56:00,B2.3
5,gev_20190516_0453,2019/05/16 04:53:00,04:58:00,04:56:00,B1.4
1,gev_20190515_0832,2019/05/15 08:32:00,08:49:00,08:40:00,B3.5
2,gev_20190515_1642,2019/05/15 16:42:00,17:03:00,16:56:00,B2.0
3,gev_20190515_1915,2019/05/15 19:15:00,19:27:00,19:24:00,C2.0
4,gev_20190515_1947,2019/05/15 19:47:00,20:02:00,19:56:00,B2.3
5,gev_20190516_0453,2019/05/16 04:53:00,04:58:00,04:56:00,B1.4
1,gev_20190513_1458,2019/05/13 14:58:00,17:30:00,15:52:00,B3.5
2,gev_20190513_1502,2019/05/13 15:02:00,17:10:00,15:52:00,B3.5
3,gev_20190515_0832,2019/05/15 08:32:00,08:49:00,08:40:00,B3.5
4,gev_20190515_1642,2019/05/15 16:42:00,17:03:00,16:56:00,B2.0
5,gev_20190515_1915,2019/05/15 19:15:00,19:27:00,19:24:00,C2.0
6,gev_20190515_1947,2019/05/15 19:47:00,20:02:00,19:56:00,B2.3
7,gev_20190516_0453,2019/05/16 04:53:00,04:58:00,04:56:00,B1.4
1,gev_20190512_0630,2019/05/12 06:30:00,07:10:00,06:49:00,B1.4
2,gev_20190512_0804,2019/05/12 08:04:00,09:06:00,08:46:00,B1.8
3,gev_20190512_1915,2019/05/12 19:15:00,23:00:00,21:14:00,B2.2
4,gev_20190512_1920,2019/05/12 19:20:00,23:16:22,22:51:00,B3.7
5,gev_20190512_2239,2019/05/12 22:39:00,23:04:00,22:51:00,B3.7
6,gev_20190513_1458,2019/05/13 14:58:00,17:30:00,15:52:00,B3.5
7,gev_20190513_1502,2019/05/13 15:02:00,17:10:00,15:52:00,B3.5
8,gev_20190515_0832,2019/05/15 08:32:00,08:49:00,08:40:00,B3.5
9,gev_20190515_1642,2019/05/15 16:42:00,17:03:00,16:56:00,B2.0
10,gev_20190515_1915,2019/05/15 19:15:00,19:27:00,19:24:00,C2.0
11,gev_20190515_1947,2019/05/15 19:47:00,20:02:00,19:56:00,B2.3
12,gev_20190516_0453,2019/05/16 04:53:00,04:58:00,04:56:00,B1.4
1,gev_20190512_0630,2019/05/12 06:30:00,07:10:00,06:49:00,B1.4
2,gev_20190512_0804,2019/05/12 08:04:00,09:06:00,08:46:00,B1.8
3,gev_20190512_1915,2019/05/12 19:15:00,23:00:00,21:14:00,B2.2
4,gev_20190512_1920,2019/05/12 19:20:00,23:16:22,22:51:00,B3.7
5,gev_20190512_2239,2019/05/12 22:39:00,23:04:00,22:51:00,B3.7
6,gev_20190513_1458,2019/05/13 14:58:00,17:30:00,15:52:00,B3.5
7,gev_20190513_1502,2019/05/13 15:02:00,17:10:00,15:52:00,B3.5
8,gev_20190515_0832,2019/05/15 08:32:00,08:49:00,08:40:00,B3.5
9,gev_20190515_1642,2019/05/15 16:42:00,17:03:00,16:56:00,B2.0
10,gev_20190515_1915,2019/05/15 19:15:00,19:27:00,19:24:00,C2.0
11,gev_20190515_1947,2019/05/15 19:47:00,20:02:00,19:56:00,B2.3
12,gev_20190516_0453,2019/05/16 04:53:00,04:58:00,04:56:00,B1.4
1,gev_20190510_0839,2019/05/10 08:39:00,08:56:00,08:47:00,B2.0
2,gev_20190510_1729,2019/05/10 17:29:00,17:40:00,17:34:00,B2.2
3,gev_20190510_1826,2019/05/10 18:26:00,18:48:00,18:42:00,B2.2
4,gev_20190510_1904,2019/05/10 19:04:00,19:30:00,19:12:00,B1.5
5,gev_20190512_0630,2019/05/12 06:30:00,07:10:00,06:49:00,B1.4
6,gev_20190512_0804,2019/05/12 08:04:00,09:06:00,08:46:00,B1.8
7,gev_20190512_1915,2019/05/12 19:15:00,23:00:00,21:14:00,B2.2
8,gev_20190512_1920,2019/05/12 19:20:00,23:16:22,22:51:00,B3.7
9,gev_20190512_2239,2019/05/12 22:39:00,23:04:00,22:51:00,B3.7
10,gev_20190513_1458,2019/05/13 14:58:00,17:30:00,15:52:00,B3.5
11,gev_20190513_1502,2019/05/13 15:02:00,17:10:00,15:52:00,B3.5
12,gev_20190515_0832,2019/05/15 08:32:00,08:49:00,08:40:00,B3.5
13,gev_20190515_1642,2019/05/15 16:42:00,17:03:00,16:56:00,B2.0
14,gev_20190515_1915,2019/05/15 19:15:00,19:27:00,19:24:00,C2.0
15,gev_20190515_1947,2019/05/15 19:47:00,20:02:00,19:56:00,B2.3
16,gev_20190516_0453,2019/05/16 04:53:00,04:58:00,04:56:00,B1.4
1,gev_20190509_0540,2019/05/09 05:40:00,05:56:00,05:51:00,C6.7
2,gev_20190510_0839,2019/05/10 08:39:00,08:56:00,08:47:00,B2.0
3,gev_20190510_1729,2019/05/10 17:29:00,17:40:00,17:34:00,B2.2
4,gev_20190510_1826,2019/05/10 18:26:00,18:48:00,18:42:00,B2.2
5,gev_20190510_1904,2019/05/10 19:04:00,19:30:00,19:12:00,B1.5
6,gev_20190512_0630,2019/05/12 06:30:00,07:10:00,06:49:00,B1.4
7,gev_20190512_0804,2019/05/12 08:04:00,09:06:00,08:46:00,B1.8
8,gev_20190512_1915,2019/05/12 19:15:00,23:00:00,21:14:00,B2.2
9,gev_20190512_1920,2019/05/12 19:20:00,23:16:22,22:51:00,B3.7
10,gev_20190512_2239,2019/05/12 22:39:00,23:04:00,22:51:00,B3.7
11,gev_20190513_1458,2019/05/13 14:58:00,17:30:00,15:52:00,B3.5
12,gev_20190513_1502,2019/05/13 15:02:00,17:10:00,15:52:00,B3.5
13,gev_20190515_0832,2019/05/15 08:32:00,08:49:00,08:40:00,B3.5
1,gev_20190508_0254,2019/05/08 02:54:00,04:50:00,03:54:00,B4.2
2,gev_20190508_2121,2019/05/08 21:21:00,21:37:00,21:27:00,B1.9
3,gev_20190508_2345,2019/05/08 23:45:00,00:08:00,23:59:00,B2.4
4,gev_20190509_0540,2019/05/09 05:40:00,05:56:00,05:51:00,C6.7
5,gev_20190510_0839,2019/05/10 08:39:00,08:56:00,08:47:00,B2.0
6,gev_20190510_1729,2019/05/10 17:29:00,17:40:00,17:34:00,B2.2
7,gev_20190510_1826,2019/05/10 18:26:00,18:48:00,18:42:00,B2.2
8,gev_20190510_1904,2019/05/10 19:04:00,19:30:00,19:12:00,B1.5
9,gev_20190512_0630,2019/05/12 06:30:00,07:10:00,06:49:00,B1.4
10,gev_20190512_0804,2019/05/12 08:04:00,09:06:00,08:46:00,B1.8
11,gev_20190512_1915,2019/05/12 19:15:00,23:00:00,21:14:00,B2.2
12,gev_20190512_1920,2019/05/12 19:20:00,23:16:22,22:51:00,B3.7
13,gev_20190512_2239,2019/05/12 22:39:00,23:04:00,22:51:00,B3.7
14,gev_20190513_1458,2019/05/13 14:58:00,17:30:00,15:52:00,B3.5
15,gev_20190513_1502,2019/05/13 15:02:00,17:10:00,15:52:00,B3.5
1,gev_20190507_0918,2019/05/07 09:18:00,09:25:00,09:23:00,B5.0
2,gev_20190507_0929,2019/05/07 09:29:00,09:39:00,09:35:00,B8.0
3,gev_20190507_0951,2019/05/07 09:51:00,10:58:00,10:47:00,C1.2
4,gev_20190507_1110,2019/05/07 11:10:00,11:49:00,11:27:00,B8.2
5,gev_20190507_1152,2019/05/07 11:52:00,12:02:00,11:56:00,C1.4
6,gev_20190507_1329,2019/05/07 13:29:00,13:38:00,13:33:00,B3.4
7,gev_20190507_1330,2019/05/07 13:30:00,13:38:00,13:33:00,B3.2
8,gev_20190507_1854,2019/05/07 18:54:00,22:30:00,20:02:00,B2.1
9,gev_20190508_0254,2019/05/08 02:54:00,04:50:00,03:54:00,B4.2
10,gev_20190508_2121,2019/05/08 21:21:00,21:37:00,21:27:00,B1.9
11,gev_20190508_2345,2019/05/08 23:45:00,00:08:00,23:59:00,B2.4
12,gev_20190509_0540,2019/05/09 05:40:00,05:56:00,05:51:00,C6.7
13,gev_20190510_0839,2019/05/10 08:39:00,08:56:00,08:47:00,B2.0
14,gev_20190510_1729,2019/05/10 17:29:00,17:40:00,17:34:00,B2.2
15,gev_20190510_1826,2019/05/10 18:26:00,18:48:00,18:42:00,B2.2
16,gev_20190510_1904,2019/05/10 19:04:00,19:30:00,19:12:00,B1.5
17,gev_20190512_0630,2019/05/12 06:30:00,07:10:00,06:49:00,B1.4
18,gev_20190512_0804,2019/05/12 08:04:00,09:06:00,08:46:00,B1.8
19,gev_20190512_1915,2019/05/12 19:15:00,23:00:00,21:14:00,B2.2
20,gev_20190512_1920,2019/05/12 19:20:00,23:16:22,22:51:00,B3.7
1,gev_20190507_0718,2019/05/07 07:18:00,07:27:00,07:25:00,B3.1
2,gev_20190507_0837,2019/05/07 08:37:00,08:44:00,08:41:00,B2.0
3,gev_20190507_0918,2019/05/07 09:18:00,09:25:00,09:23:00,B5.0
4,gev_20190507_0929,2019/05/07 09:29:00,09:39:00,09:35:00,B8.0
5,gev_20190507_0951,2019/05/07 09:51:00,10:58:00,10:47:00,C1.2
6,gev_20190507_1110,2019/05/07 11:10:00,11:49:00,11:27:00,B8.2
