harpnum,t_rec,totusjh,totusjz,absnjzh,savncpp,usflux,area_acr,meangam,meangbt,meangbz,meangbh,meanjzh,meanjzd,latdtmin,latdtmax,londtmin,londtmax,harpnum,t_rec,totbsq,totfz,epsz,totfy,totfx,epsy,epsx
2414,2013.02.01_18:00:00_TAI,188.762,3874701000000.0,16.326,284666100000.0,4.227081e+21,95.631516,36.29,82.632,84.484,39.478,-0.00261762,0.0864663,24.7293,33.915199,41.3321,56.991001,2414,2013.02.01_18:00:00_TAI,7987900000.0,-1086.8,-0.2581,-377.14,-1401.7,0.0448,0.1664
2414,2013.02.01_19:00:00_TAI,167.685,3356273000000.0,15.503,170405000000.0,4.109259e+21,99.881912,37.728,78.66,78.775,37.62,-0.00250892,-0.00934873,24.7293,33.915199,41.877899,57.5368,2414,2013.02.01_19:00:00_TAI,7768900000.0,-1115.1,-0.2723,-452.19,-1288.2,0.0552,0.1573
2414,2013.02.01_20:00:00_TAI,159.635,3005279000000.0,12.235,359409600000.0,3.94414e+21,96.114182,37.338,82.231,82.384,38.95,-0.00216477,0.0871559,24.7293,33.915199,42.423698,58.0826,2414,2013.02.01_20:00:00_TAI,7886700000.0,-1129.1,-0.2716,-464.6,-1292.7,0.0559,0.1555
2414,2013.02.01_21:00:00_TAI,162.699,3002543000000.0,6.812,264637500000.0,3.760319e+21,94.20623,37.633,85.643,85.104,41.586,-0.00131996,0.1004208,24.7293,33.915199,42.969501,58.628399,2414,2013.02.01_21:00:00_TAI,8237600000.0,-1096.5,-0.2525,-402.61,-1397.0,0.0464,0.1608
2414,2013.02.01_22:00:00_TAI,178.448,3273254000000.0,13.226,293438400000.0,3.825033e+21,89.29287,38.36,86.896,86.528,44.52,-0.0025164,0.07452531,24.7293,33.915199,43.515202,59.174198,2414,2013.02.01_22:00:00_TAI,8170300000.0,-1141.9,-0.2651,-295.52,-1429.2,0.0343,0.1659
2414,2013.02.01_23:00:00_TAI,171.877,3363913000000.0,10.241,331616600000.0,3.845435e+21,85.868614,39.555,79.357,79.111,41.828,-0.00178909,0.09541195,24.7293,33.915199,44.061001,59.720001,2414,2013.02.01_23:00:00_TAI,7839700000.0,-1202.4,-0.2909,-304.82,-1319.6,0.0369,0.1596
2414,2013.02.02_00:00:00_TAI,176.183,3424953000000.0,15.494,738283000000.0,3.776752e+21,83.949287,41.326,77.173,78.368,40.716,-0.00270221,0.25208491,24.7293,33.915199,44.6068,60.2658,2414,2013.02.02_00:00:00_TAI,7721800000.0,-1212.3,-0.2978,-362.27,-1249.8,0.0445,0.1535
2414,2013.02.02_01:00:00_TAI,159.069,3053395000000.0,7.524,92950500000.0,3.741908e+21,84.894463,41.393,73.779,74.188,38.664,-0.00132412,0.0310504,24.7293,33.915199,45.152599,60.8116,2414,2013.02.02_01:00:00_TAI,7668500000.0,-1201.4,-0.2972,-376.72,-1226.9,0.0466,0.1517
2414,2013.02.02_02:00:00_TAI,168.477,3128170000000.0,6.612,181411800000.0,3.845361e+21,84.111404,40.484,76.491,77.242,39.121,-0.00114281,0.06136895,24.7293,33.915199,45.698399,61.3573,2414,2013.02.02_02:00:00_TAI,7760600000.0,-1265.0,-0.3092,-376.95,-1258.6,0.0461,0.1538
2414,2013.02.02_03:00:00_TAI,173.546,3180817000000.0,7.594,562462300000.0,3.88875e+21,84.879768,39.612,76.623,76.877,39.33,-0.00128967,0.18695058,24.7293,33.915199,46.244202,61.903099,2414,2013.02.02_03:00:00_TAI,7815800000.0,-1272.9,-0.3089,-341.73,-1269.2,0.0415,0.154
2414,2013.02.02_04:00:00_TAI,182.961,3285477000000.0,10.116,565391500000.0,3.788689e+21,80.983635,40.042,77.642,77.116,39.552,-0.00176391,0.19291285,24.7293,33.915199,46.790001,62.448898,2414,2013.02.02_04:00:00_TAI,7795600000.0,-1295.5,-0.3152,-316.45,-1296.7,0.0385,0.1578
2414,2013.02.02_05:00:00_TAI,175.006,3244226000000.0,3.605,196790400000.0,3.582626e+21,77.906021,40.277,81.683,81.098,42.023,-0.000669,0.00159579,24.7293,33.915199,47.3358,62.994701,2414,2013.02.02_05:00:00_TAI,7957900000.0,-1308.8,-0.312,-243.35,-1390.9,0.029,0.1658
2414,2013.02.02_06:00:00_TAI,172.779,2904454000000.0,8.462,292147100000.0,3.266366e+21,77.814812,40.935,85.482,85.668,44.763,-0.00185901,0.12556252,24.7293,33.915199,47.8815,63.540501,2414,2013.02.02_06:00:00_TAI,8414900000.0,-1296.2,-0.2922,-252.03,-1427.8,0.0284,0.1609
2414,2013.02.02_07:00:00_TAI,153.339,2528852000000.0,6.462,135678400000.0,3.08081e+21,81.13131,44.073,81.39,81.868,42.554,-0.00147962,0.06078055,24.7293,33.915199,48.427299,64.086304,2414,2013.02.02_07:00:00_TAI,8322200000.0,-1287.9,-0.2936,-337.05,-1351.2,0.0384,0.154
2414,2013.02.02_08:00:00_TAI,143.806,2429110000000.0,11.07,362250500000.0,2.988894e+21,80.429298,45.042,77.606,78.28,42.615,-0.00254718,0.15031675,24.7293,33.915199,48.973099,64.632103,2414,2013.02.02_08:00:00_TAI,7992300000.0,-1310.4,-0.311,-342.57,-1275.9,0.0407,0.1514
2414,2013.02.02_09:00:00_TAI,131.131,2124405000000.0,9.661,223400800000.0,2.420507e+21,74.636902,48.935,80.602,79.975,50.198,-0.00286423,0.1295691,24.7293,33.915199,49.518902,65.177803,2414,2013.02.02_09:00:00_TAI,7909200000.0,-1336.4,-0.3205,-305.25,-1270.1,0.0366,0.1523
2414,2013.02.02_10:00:00_TAI,125.464,1927519000000.0,5.604,443015500000.0,2.229993e+21,76.981789,49.552,83.36,83.894,53.23,-0.00190275,0.29429689,24.7293,33.915199,50.064701,65.723602,2414,2013.02.02_10:00:00_TAI,8077700000.0,-1297.7,-0.3047,-218.45,-1325.0,0.0256,0.1556
