,0,1,2,3,4,5
0,harpnum,,noaa_ars,latdtmin,londtmin,latdtmax,londtmax
0,1,11067,20.513599,-87.762901,28.4676,-70.368797
0,1,11067,20.513599,-87.2118,28.4676,-69.817596
0,1,11067,20.513599,-86.660599,28.4676,-69.266403
0,1,11067,20.513599,-86.109398,28.4676,-68.715202
0,1,11067,20.513599,-85.558197,28.4676,-68.164001
0,1,11067,20.513599,-85.007004,28.4676,-67.612801
0,1,11067,20.513599,-84.455803,28.4676,-67.061699
0,1,11067,20.513599,-83.904602,28.4676,-66.510498
0,1,11067,20.513599,-83.353401,28.4676,-65.959297
0,1,11067,20.513599,-82.8022,28.4676,-65.408096
0,1,11067,20.513599,-82.250999,28.4676,-64.856903
0,1,11067,20.513599,-81.699898,28.4676,-64.305702
0,1,11067,20.513599,-81.148697,28.4676,-63.754501
0,1,11067,20.513599,-80.597504,28.4676,-63.2033
0,1,11067,20.513599,-80.046303,28.4676,-62.6521
0,1,11067,20.513599,-79.495102,28.4676,-62.100899
0,1,11067,20.513599,-78.943901,28.4676,-61.549801
0,1,11067,20.513599,-78.3927,28.4676,-60.9986
0,1,11067,20.513599,-77.841499,28.4676,-60.447399
0,1,11067,20.513599,-77.290298,28.4676,-59.896198
0,1,11067,20.513599,-76.739197,28.4676,-59.345001
0,1,11067,20.513599,-76.188004,28.4676,-58.7938
0,1,11067,20.513599,-75.636803,28.4676,-58.242599
0,1,11067,20.513599,-75.085602,28.4676,-57.691399
0,1,11067,20.513599,-74.534401,28.4676,-57.140202
0,1,11067,20.513599,-73.9832,28.4676,-56.589001
0,1,11067,20.513599,-73.431999,28.4676,-56.037899
0,1,11067,20.513599,-72.880798,28.4676,-55.486698
0,1,11067,20.513599,-72.329597,28.4676,-54.935501
0,1,11067,20.513599,-71.778397,28.4676,-54.3843
0,1,11067,20.513599,-71.227303,28.4676,-53.833099
0,1,11067,20.513599,-70.676102,28.4676,-53.281898
0,1,11067,20.513599,-70.124901,28.4676,-52.730701
0,1,11067,20.513599,-69.5737,28.4676,-52.179501
0,1,11067,20.513599,-69.022499,28.4676,-51.6283
0,1,11067,20.513599,-68.471298,28.4676,-51.077099
0,1,11067,20.513599,-67.920097,28.4676,-50.526001
0,1,11067,20.513599,-67.368896,28.4676,-49.9748
0,1,11067,20.513599,-66.817703,28.4676,-49.423599
0,1,11067,20.513599,-66.266502,28.4676,-48.872398
0,1,11067,20.513599,-65.715401,28.4676,-48.321201
0,1,11067,20.513599,-65.1642,28.4676,-47.77
0,1,11067,20.513599,-64.612999,28.4676,-47.2188
0,1,11067,20.513599,-64.061798,28.4676,-46.667599
0,1,11067,20.513599,-63.510601,28.4676,-46.116402
0,1,11067,20.513599,-62.9594,28.4676,-45.565201
0,1,11067,20.513599,-62.408199,28.4676,-45.014099
0,1,11067,20.513599,-61.856998,28.4676,-44.462898
0,1,11067,20.513599,-61.305801,28.4676,-43.911701
0,1,11067,20.513599,-60.754601,28.4676,-43.3605
0,1,11067,20.513599,-60.203499,28.4676,-42.809299
0,1,11067,20.513599,-59.652302,28.4676,-42.258099
0,1,11067,20.513599,-59.101101,28.4676,-41.706902
0,1,11067,20.513599,-58.5499,28.4676,-41.155701
0,1,11067,20.513599,-57.998699,28.4676,-40.6045
0,1,11067,20.513599,-57.447498,28.4676,-40.053398
0,1,11067,20.513599,-56.896301,28.4676,-39.502201
0,1,11067,20.513599,-56.3451,28.4676,-38.951
0,1,11067,20.513599,-55.7939,28.4676,-38.399799
0,1,11067,20.513599,-55.242699,28.4676,-37.848598
0,1,11067,20.513599,-54.691601,28.4676,-37.297401
0,1,11067,20.513599,-54.1404,28.4676,-36.746201
0,1,11067,20.513599,-53.589199,28.4676,-36.195
0,1,11067,20.513599,-53.037998,28.4676,-35.643799
0,1,11067,20.513599,-52.486801,28.4676,-35.092602
0,1,11067,20.513599,-51.9356,28.4676,-34.5415
0,1,11067,20.513599,-51.384399,28.4676,-33.990299
0,1,11067,20.513599,-50.833199,28.4676,-33.439098
0,1,11067,20.513599,-50.282001,28.4676,-32.887901
0,1,11067,20.513599,-49.730801,28.4676,-32.3367
0,1,11067,20.513599,-49.179699,28.4676,-31.7855
0,1,11067,20.513599,-48.628502,28.4676,-31.234301
0,1,11067,20.513599,-48.077301,28.4676,-30.6831
0,1,11067,20.513599,-47.5261,28.4676,-30.131901
0,1,11067,20.513599,-46.974899,28.4676,-29.5807
0,1,11067,20.513599,-46.423698,28.4676,-29.0296
0,1,11067,20.513599,-45.872501,28.4676,-28.478399
0,1,11067,20.513599,-45.321301,28.4676,-27.9272
0,1,11067,20.513599,-44.7701,28.4676,-27.375999
0,1,11067,20.513599,-44.219002,28.4676,-26.8248
0,1,11067,20.513599,-43.667801,28.4676,-26.2736
0,1,11067,20.513599,-43.1166,28.4676,-25.722401
0,1,11067,20.513599,-42.565399,28.4676,-25.1712
0,1,11067,20.513599,-42.014198,28.4676,-24.620001
0,1,11067,20.513599,-41.463001,28.4676,-24.0688
0,1,11067,20.513599,-40.9118,28.4676,-23.5177
0,1,11067,20.513599,-40.3606,28.4676,-22.966499
0,1,11067,20.513599,-39.809399,28.4676,-22.4153
0,1,11067,20.513599,-39.258202,28.4676,-21.8641
0,1,11067,20.513599,-38.7071,28.4676,-21.312901
0,1,11067,20.513599,-38.155899,28.4676,-20.7617
0,1,11067,20.513599,-37.604698,28.4676,-20.210501
0,1,11067,20.513599,-37.053501,28.4676,-19.6593
0,1,11067,20.513599,-36.5023,28.4676,-19.108101
0,1,11067,20.513599,-35.951099,28.4676,-18.5569
0,1,11067,20.513599,-35.399899,28.4676,-18.0058
0,1,11067,20.513599,-34.848701,28.4676,-17.454599
0,1,11067,20.513599,-34.297501,28.4676,-16.9034
0,1,11067,20.513599,-33.7463,28.4676,-16.3522
0,1,11067,20.513599,-33.195202,28.4676,-15.801
0,1,11067,20.513599,-32.644001,28.4676,-15.2498
0,1,11067,20.513599,-32.0928,28.4676,-14.6986
0,1,11067,20.513599,-31.541599,28.4676,-14.1474
0,1,11067,20.513599,-30.9904,28.4676,-13.5962
0,1,11067,20.513599,-30.439199,28.4676,-13.045
0,1,11067,20.513599,-29.888,28.4676,-12.4939
0,1,11067,20.513599,-29.3368,28.4676,-11.9427
0,1,11067,20.513599,-28.785601,28.4676,-11.3915
0,1,11067,20.513599,-28.2344,28.4676,-10.8403
0,1,11067,20.513599,-27.6833,28.4676,-10.2891
0,1,11067,20.513599,-27.132099,28.4676,-9.7379
0,1,11067,20.513599,-26.5809,28.4676,-9.1867
0,1,11067,20.513599,-26.029699,28.4676,-8.6355
0,1,11067,20.513599,-25.4785,28.4676,-8.0843
0,1,11067,20.513599,-24.927299,28.4676,-7.5332
0,1,11067,20.513599,-24.376101,28.4676,-6.982
0,1,11067,20.513599,-23.8249,28.4676,-6.4308
0,1,11067,20.513599,-23.273701,28.4676,-5.8796
0,1,11067,20.513599,-22.7225,28.4676,-5.3284
0,1,11067,20.513599,-22.1714,28.4676,-4.7772
0,1,11067,20.513599,-21.620199,28.4676,-4.226
0,1,11067,20.513599,-21.069,28.4676,-3.6748
0,1,11067,20.513599,-20.517799,28.4676,-3.1236
0,1,11067,20.513599,-19.9666,28.4676,-2.5724
0,1,11067,20.513599,-19.4154,28.4676,-2.0213
0,1,11067,20.513599,-18.864201,28.4676,-1.4701
0,1,11067,20.513599,-18.313,28.4676,-0.9189
0,1,11067,20.513599,-17.761801,28.4676,-0.3677
0,1,11067,20.513599,-17.2106,28.4676,0.1835
0,1,11067,20.513599,-16.6595,28.4676,0.7347
0,1,11067,20.513599,-16.108299,28.4676,1.2859
0,1,11067,20.513599,-15.5571,28.4676,1.8371
0,1,11067,20.513599,-15.0059,28.4676,2.3883
0,1,11067,20.513599,-14.4547,28.4676,2.9395
0,1,11067,20.513599,-13.9035,28.4676,3.4906
0,1,11067,20.513599,-13.3523,28.4676,4.0418
0,1,11067,20.513599,-12.8011,28.4676,4.593
0,1,11067,20.513599,-12.2499,28.4676,5.1442
0,1,11067,20.513599,-11.6987,28.4676,5.6954
0,1,11067,20.513599,-11.1476,28.4676,6.2466
0,1,11067,20.513599,-10.5964,28.4676,6.7978
0,1,11067,20.513599,-10.0452,28.4676,7.349
0,1,11067,20.513599,-9.494,28.4676,7.9002
0,1,11067,20.513599,-8.9428,28.4676,8.4514
0,1,11067,20.513599,-8.3916,28.4676,9.0025
0,1,11067,20.513599,-7.8404,28.4676,9.5537
0,1,11067,20.513599,-7.2892,28.4676,10.1049
0,1,11067,20.513599,-6.738,28.4676,10.6561
0,1,11067,20.513599,-6.1869,28.4676,11.2073
0,1,11067,20.513599,-5.6357,28.4676,11.7585
0,1,11067,20.513599,-5.0845,28.4676,12.3097
0,1,11067,20.513599,-4.5333,28.4676,12.8609
0,1,11067,20.513599,-3.9821,28.4676,13.4121
0,1,11067,20.513599,-3.4309,28.4676,13.9633
0,1,11067,20.513599,-2.8797,28.4676,14.5144
0,1,11067,20.513599,-2.3285,28.4676,15.0656
0,1,11067,20.513599,-1.7773,28.4676,15.6168
0,1,11067,20.513599,-1.2261,28.4676,16.167999
0,1,11067,20.513599,-0.675,28.4676,16.7192
