harp_num,t_rec,noaa_num,latdtmin,londtmin,latdtmax,londtmax
1,2010.05.01_00:00:00_TAI,11067,20.513599,-87.762901,28.4676,-70.368797
1,2010.05.06_02:00:00_TAI,11067,20.513599,-20.517799,28.4676,-3.1236
1,2010.05.06_01:00:00_TAI,11067,20.513599,-21.069,28.4676,-3.6748
1,2010.05.06_00:00:00_TAI,11067,20.513599,-21.620199,28.4676,-4.226
1,2010.05.05_23:00:00_TAI,11067,20.513599,-22.1714,28.4676,-4.7772
1,2010.05.05_22:00:00_TAI,11067,20.513599,-22.7225,28.4676,-5.3284
1,2010.05.05_21:00:00_TAI,11067,20.513599,-23.273701,28.4676,-5.8796
1,2010.05.05_20:00:00_TAI,11067,20.513599,-23.8249,28.4676,-6.4308
1,2010.05.05_19:00:00_TAI,11067,20.513599,-24.376101,28.4676,-6.982
1,2010.05.05_18:00:00_TAI,11067,20.513599,-24.927299,28.4676,-7.5332
1,2010.05.05_17:00:00_TAI,11067,20.513599,-25.4785,28.4676,-8.0843
1,2010.05.05_16:00:00_TAI,11067,20.513599,-26.029699,28.4676,-8.6355
1,2010.05.05_15:00:00_TAI,11067,20.513599,-26.5809,28.4676,-9.1867
1,2010.05.05_14:00:00_TAI,11067,20.513599,-27.132099,28.4676,-9.7379
1,2010.05.05_13:00:00_TAI,11067,20.513599,-27.6833,28.4676,-10.2891
1,2010.05.05_12:00:00_TAI,11067,20.513599,-28.2344,28.4676,-10.8403
1,2010.05.05_11:00:00_TAI,11067,20.513599,-28.785601,28.4676,-11.3915
1,2010.05.05_10:00:00_TAI,11067,20.513599,-29.3368,28.4676,-11.9427
1,2010.05.05_09:00:00_TAI,11067,20.513599,-29.888,28.4676,-12.4939
1,2010.05.05_08:00:00_TAI,11067,20.513599,-30.439199,28.4676,-13.045
1,2010.05.05_07:00:00_TAI,11067,20.513599,-30.9904,28.4676,-13.5962
1,2010.05.05_06:00:00_TAI,11067,20.513599,-31.541599,28.4676,-14.1474
1,2010.05.06_03:00:00_TAI,11067,20.513599,-19.9666,28.4676,-2.5724
1,2010.05.05_05:00:00_TAI,11067,20.513599,-32.0928,28.4676,-14.6986
1,2010.05.06_04:00:00_TAI,11067,20.513599,-19.4154,28.4676,-2.0213
1,2010.05.06_06:00:00_TAI,11067,20.513599,-18.313,28.4676,-0.9189
1,2010.05.07_03:00:00_TAI,11067,20.513599,-6.738,28.4676,10.6561
1,2010.05.07_02:00:00_TAI,11067,20.513599,-7.2892,28.4676,10.1049
1,2010.05.07_01:00:00_TAI,11067,20.513599,-7.8404,28.4676,9.5537
1,2010.05.07_00:00:00_TAI,11067,20.513599,-8.3916,28.4676,9.0025
1,2010.05.06_23:00:00_TAI,11067,20.513599,-8.9428,28.4676,8.4514
