,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,t_rec,totusjh,totusjz,absnjzh,savncpp,usflux,area_acr,meangam,meangbt,meangbz,meangbh,meanjzh,meanjzd,totbsq,totfz,epsz,totfy,totfx,epsy,epsx
0,2010.05.01_00:00:00_TAI,270.853,5777592000000.0,30.27,2383632000000.0,6.510776e+21,107.599098,28.337,66.808,84.497,32.193,0.00310271,-0.13187341,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,2010.05.01_01:00:00_TAI,316.165,6081439000000.0,5.01,802121300000.0,7.361199e+21,106.9674,26.925,66.337,80.902,32.457,0.00046032,0.1095577,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,2010.05.01_02:00:00_TAI,347.682,7012156000000.0,58.043,3337758000000.0,7.909655e+21,92.566971,26.979,67.214,80.915,32.471,0.00471089,0.07630862,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,2010.05.01_03:00:00_TAI,392.14,8481706000000.0,27.802,1972685000000.0,7.723257e+21,79.266113,28.151,79.63,105.612,34.274,0.00223503,-0.10687152,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,2010.05.01_04:00:00_TAI,354.518,7766049000000.0,38.681,2209957000000.0,7.41746e+21,70.337738,26.815,82.078,107.862,37.641,0.00333487,-0.00674487,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,2010.05.01_05:00:00_TAI,349.242,7457526000000.0,56.683,3432142000000.0,6.86408e+21,66.218758,27.371,78.768,100.598,35.895,0.0051605,-0.14425039,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,2010.05.01_06:00:00_TAI,340.703,7027060000000.0,4.95,1474877000000.0,6.752452e+21,68.290634,27.507,78.032,98.934,34.619,0.00045652,-0.25460792,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,2010.05.01_07:00:00_TAI,286.043,6711390000000.0,15.768,2343717000000.0,6.717172e+21,64.134262,28.676,74.731,93.919,34.341,0.00137483,-0.05531618,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,2010.05.01_08:00:00_TAI,304.557,6520476000000.0,1.541,573821700000.0,7.110476e+21,58.559433,27.434,67.666,76.252,30.719,-0.00013202,0.07340933,-nan,-nan,-nan,-nan,-nan,-nan,-nan
